"Holdings and weightings as of 5:38 PM ET 03/06/2018",
"Symbol","Company Name","Index Weight","Last","Change","%Change","Volume","52 Week Range",
"PCAR","PACCAR Inc","1.14%","68.10","-1.81","-2.59%","843.16 K","61.93 - 79.69",
"ROP","Roper Technologies, Inc","1.12%","276.47","+2.73","+1.00%","137.07 K","203.50 - 290.42",
"FTV","Fortive Corp","1.03%","76.97","+1.85","+2.46%","1.25 M","57.83 - 78.83",
"SWK","Stanley Black & Decker","0.94%","154.90","+1.41","+0.92%","667.19 K","127.45 - 176.62",
"AAL","American Airlines Group Inc.","0.91%","53.66","+0.09","+0.17%","1.14 M","39.21 - 59.08",
"IR","Ingersoll-Rand Plc","0.87%","86.32","-0.67","-0.77%","945.72 K","77.26 - 97.67",
"EFX","Equifax Inc","0.79%","120.08","-1.31","-1.08%","382.14 K","89.59 - 147.02",
"TXT","Textron Inc","0.77%","58.21","-0.38","-0.65%","346.52 K","45.00 - 62.19",
"DOV","Dover Corp","0.75%","98.36","-1.65","-1.65%","272.04 K","75.51 - 109.06",
"HRS","Harris Corp","0.73%","153.24","-0.86","-0.56%","209.73 K","106.18 - 161.04",
"GWW","Grainger W.W. Inc","0.72%","267.60","-0.16","-0.06%","263.33 K","155.00 - 298.15",
"CTAS","Cintas Corp","0.71%","171.72","-0.28","-0.16%","166.78 K","117.21 - 172.91",
"AME","AMETEK Inc","0.70%","75.94","-0.17","-0.22%","504.80 K","52.42 - 79.10",
"INFO","IHS Markit Ltd","0.69%","47.59","+0.08","+0.17%","613.22 K","37.82 - 49.19",
"UAL","United Continental Holding Inc","0.68%","67.01","-0.51","-0.76%","1.23 M","56.51 - 83.04",
"FAST","Fastenal Co","0.65%","55.89","-0.58","-1.03%","873.88 K","39.79 - 57.82",
"VRSK","Verisk Analytics Inc","0.65%","103.84","-0.43","-0.41%","119.77 K","75.60 - 104.55",
"LLL","L3 Technologies, Inc","0.64%","204.33","-0.89","-0.43%","96.22 K","159.43 - 218.71",
"RSG","Republic Services Inc","0.62%","67.80","-0.29","-0.42%","817.70 K","60.26 - 69.40",
"URI","United Rentals Inc","0.62%","178.81","-6.18","-3.34%","854.09 K","100.62 - 189.00",
"MAS","Masco Corp","0.57%","41.10","-0.04","-0.10%","983.02 K","32.97 - 46.45",
"TDG","TransDigm Group","0.55%","283.81","-0.28","-0.10%","289.53 K","203.72 - 321.38",
"XYL","Xylem Inc","0.54%","75.27","-0.01","-0.01%","238.40 K","47.37 - 76.81",
"CHRW","CH Robinson Worldwide Inc","0.50%","89.77","-0.22","-0.24%","391.77 K","63.41 - 100.18",
"FLR","Fluor Corp","0.47%","56.82","-0.75","-1.30%","400.36 K","37.04 - 62.09",
"HII","Huntington Ingalls Industries Inc.","0.47%","255.86","-2.76","-1.07%","144.03 K","183.42 - 276.69",
"EXPD","Expeditors Intl of WA Inc","0.45%","62.74","-0.98","-1.54%","599.21 K","51.96 - 67.63",
"PNR","Pentair PLC","0.45%","68.66","+0.14","+0.20%","322.66 K","58.59 - 74.84",
"KSU","Kansas City Southern Inc","0.44%","104.88","-0.95","-0.90%","363.54 K","81.54 - 114.85",
"NLSN","Nielsen Holdings plc","0.44%","32.46","-0.82","-2.46%","815.69 K","31.90 - 44.69",
"RHI","Robert Half Intl Inc","0.42%","59.17","-0.38","-0.64%","265.71 K","42.92 - 60.59",
"ARNC","Arconic Inc","0.41%","24.41","-0.15","-0.59%","595.84 K","21.76 - 31.17",
"JBHT","Hunt J.B. Transport Services","0.40%","118.10","-0.47","-0.40%","175.40 K","83.35 - 126.49",
"FBHS","Fortune Brands Home & Security Inc","0.38%","61.59","-0.64","-1.03%","300.54 K","57.71 - 73.62",
"AOS","Smith A.O. Corp","0.37%","63.25","-0.03","-0.05%","247.76 K","49.19 - 68.39",
"SNA","Snap On Inc","0.36%","157.53","-1.41","-0.89%","169.71 K","140.83 - 185.47",
"ALLE","Allegion plc","0.32%","83.58","-0.34","-0.41%","120.37 K","72.45 - 89.81",
"ALK","Alaska Air Group Inc","0.32%","63.84","-0.46","-0.72%","554.80 K","59.25 - 98.30",
"JEC","Jacobs Engineering Group Inc","0.29%","59.68","-0.52","-0.86%","342.62 K","49.31 - 72.18",
"AYI","Acuity Brands Inc","0.26%","150.16","-4.05","-2.62%","195.90 K","141.68 - 212.42",
"FLS","Flowserve Corp","0.23%","44.02","-0.11","-0.25%","433.99 K","37.51 - 51.92",
"PWR","Quanta Services Inc","0.21%","34.72","+0.04","+0.12%","742.80 K","30.23 - 40.11",
"SRCL","Stericycle Inc","0.21%","63.24","+0.12","+0.19%","305.87 K","58.53 - 88.00",
